Model	No output n/N (%)	Resection=Yes in ILAE12 n/N (%)	Resection=Yes in ILAE3456 n/N (%)	Adjusted aOR	95% CI	p
MELD (native)	16/58 (27.6%)	11/38 (28.9%)	4/20 (20.0%)	1.56	[0.448, 6.17]	0.2533
rs-fMRI	0/58 (0.0%)	17/38 (44.7%)	1/20 (5.0%)	12.5	[2.49, 133]	0.0006
Intersection	47/58 (81.0%)	0/38 (0.0%)	0/20 (0.0%)	NA	NA	NA
TrackA (fusion)	0/58 (0.0%)	20/38 (52.6%)	2/20 (10.0%)	9.79	[2.32, 64.2]	0.0006
