Model	No output n/N (%)	Resection=Yes in ILAE12 n/N (%)	Resection=Yes in ILAE3456 n/N (%)	Adjusted aOR	95% CI	p
MELD (native)	16/58 (27.6%)	20/38 (52.6%)	4/20 (20.0%)	4.18	[1.27, 16.4]	0.0099
rs-fMRI	0/58 (0.0%)	10/38 (26.3%)	1/20 (5.0%)	4.34	[0.859, 43.6]	0.0556
Intersection	47/58 (81.0%)	8/38 (21.1%)	0/20 (0.0%)	17	[1.61, 2.4e+03]	0.0111
TrackA (fusion, inject/union tuned)	0/58 (0.0%)	22/38 (57.9%)	3/20 (15.0%)	6.61	[1.9, 29.5]	0.0013
