Model	No output n/N (%)	Resection=Yes in ILAE12 n/N (%)	Resection=Yes in ILAE3456 n/N (%)	Adjusted aOR	95% CI	p
MELD (native)	16/58 (27.6%)	20/38 (52.6%)	4/20 (20.0%)	4.18	[1.27, 16.4]	0.0099
rs-fMRI	0/58 (0.0%)	10/38 (26.3%)	1/20 (5.0%)	4.34	[0.859, 43.6]	0.0556
Intersection	47/58 (81.0%)	8/38 (21.1%)	0/20 (0.0%)	17	[1.61, 2.4e+03]	0.0111
TrackA (fusion, inject/union)	0/58 (0.0%)	20/38 (52.6%)	2/20 (10.0%)	8.24	[2.09, 48.2]	0.0010
