Index test	No output n/N (%)	PPV median [IQR] in ILAE 1–2	PPV median [IQR] in ILAE 3–6	Mann–Whitney p	Adjusted OR per 0.1 PPV	95% CI	p
MELD (native)	16/58 (27.6%)	0.719 [0.000, 0.999]	0.000 [0.000, 0.154]	0.0278	1.19	[1.04, 1.39]	0.0004
rs-fMRI	0/58 (0.0%)	0.017 [0.000, 0.390]	0.000 [0.000, 0.000]	0.0018	1.6	[1.1, 3.27]	0.0007
Intersection	47/58 (81.0%)	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.0297	1.33	[1.05, 2.18]	0.0009
TrackA (fusion)	0/58 (0.0%)	0.456 [0.016, 0.990]	0.000 [0.000, 0.000]	6.3e-05	1.37	[1.14, 1.81]	2.1e-05
