Model	No output n/N (%)	Resection=Yes in ILAE12 n/N (%)	Resection=Yes in ILAE3456 n/N (%)	Adjusted aOR	95% CI	p
MELD (self-trained)	0/58 (0.0%)	21/38 (55.3%)	8/20 (40.0%)	1.77	[0.58, 5.6]	0.1499
rs-fMRI	0/58 (0.0%)	17/38 (44.7%)	1/20 (5.0%)	12.5	[2.49, 133]	0.0006
Intersection	29/58 (50.0%)	8/38 (21.1%)	0/20 (0.0%)	18.5	[1.74, 2.61e+03]	0.0087
TrackA (fusion)	0/58 (0.0%)	30/38 (78.9%)	2/20 (10.0%)	29.6	[6.5, 246]	5.2e-07
